scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
0,3,8991386,639.95236,0.0025,1917.08968,1915.83409,1916.837,0.0131,100,8680180,5845237,,0.19059
0,2,1009442,568.84186,0.0454,1136.36767,1135.67026,1135.67026,0.011,26.97,1009442,0,,0.6477
0,2,994483,728.39011,0.0041,1455.74427,1454.76676,1454.76676,0.0164,100,994483,353964,,0.74822
0,2,994459,931.89673,0.0041,1862.00333,1860.77712,1861.78001,0.0232,100,856206,598646,,0
0,3,992802,534.6069,0.0406,1596.84185,1595.78012,1595.78012,0.0103,100,992802,250204,1,0.60838
0,2,992489,456.74987,0.0708,912.0462,911.4863,911.4863,0.0082,100,992489,374770,,0.51687
0,2,1196612,582.80843,0.0838,1163.31134,1162.60041,1162.60041,0.0123,100,173038,327652,,0.64176
0,1,976793,507.06979,0.008,506.37678,506.06308,506.06308,0.0089,100,976793,102398,,0.78521
0,2,970589,669.3652,0.1201,1337.61575,1336.71695,1336.71695,0.014,100,970589,236630,1,0.74536
0,3,964039,842.01011,0.0298,2523.63334,2522.00725,2523.01015,0.0196,100,587854,537941,,0.31345
0,2,958923,430.23842,0.0234,858.98381,858.46337,858.46337,0.0074,100,958923,86168,,0.3493
0,2,957655,436.70172,0.0209,871.92525,871.38997,871.38997,0.0074,100,957655,104972,,0.62151
0,2,952538,585.29259,0.0095,1169.28545,1168.57172,1168.57172,0.0111,100,952538,155118,,0.39777
0,2,931213,722.83276,0.0767,1444.61861,1443.65206,1443.65206,0.0181,100,931213,234739,,0.7948
0,3,919252,662.31071,0.0232,1984.20373,1982.90905,1983.91195,0.0153,100,872700,606551,,0.22907
0,2,918578,565.81518,0.0414,1130.30412,1129.61691,1129.61691,0.0109,100,918578,421186,1,0.71657
0,2,916823,1046.98055,0.0315,2093.31225,2091.94763,2092.95052,0.0274,100,916823,672111,,0
0,5,1003688,447.63863,0.2687,2232.5993,2231.1523,2232.15522,0.0076,100,910205,1235299,,0.53479
0,2,901396,783.88125,0.042,1566.79541,1565.74905,1565.74905,0.0181,100,901396,496110,,0.57689
0,2,897147,712.33771,0.0214,1423.61452,1422.66197,1422.66197,0.015,4.94,897147,258792,,0.66803
0,2,893704,682.88641,0.0304,1364.68238,1363.75937,1363.75937,0.0148,100,893704,252216,,0.52123
0,2,887542,445.75857,0.0323,890.05096,889.50367,889.50367,0.0084,100,887542,264822,,0.72233
0,2,886857,509.2664,0.2901,1017.13791,1016.51936,1016.51936,0.0105,100,886857,700807,,0.61574
0,2,884226,521.80658,0.0259,1042.23287,1041.59971,1041.59971,0.0096,100,884226,0,,0.61619
0,3,865819,498.65123,0.0249,1493.9281,1492.93352,1492.93352,0.0088,100,865819,240493,,0.70067
0,3,859377,540.95756,0.0485,1620.92918,1619.8525,1619.8525,0.01,100,859377,231627,,0.59198
0,2,857752,658.31095,0.0131,1315.40512,1314.60845,1314.60845,0.0138,100,857752,208248,,0.72464
0,2,836515,569.28048,0.0175,1137.24507,1136.5475,1136.5475,0.012,100,836515,274928,,0.6437
0,2,835480,474.74827,0.0321,948.06129,947.48307,947.48307,0.0082,11.81,835480,278620,,0.68835
0,3,831245,522.92353,0.0407,1566.79677,1565.75041,1565.75041,0.0096,14.96,831245,294879,,0.5907
0,2,826005,499.78089,0.1605,996.14342,995.53937,995.53937,0.01,100,826005,1282881,,0.63715
0,2,810370,412.72376,0.0441,823.93992,823.43407,823.43407,0.007,100,810370,90921,,0.48066
0,2,804885,645.86447,0.0482,1289.49612,1288.71253,1288.71253,0.0132,100,804872,244472,,0.65699
